,16896,15255,16434,19178,18644,16793,16716,18296,17531,18745,9201,17075,16802,17309,17706,16908,19054,16863,17293,16999,16804,16904,18311,18211,19553,18661,18431,16970,18888,19382,17036,19035,17338,18675,17059,15622
2022-04-18T01:00:00-04:00,3.0,,,,,,,,,,,,54.0,,,,,,24.0,,,,,,,,,,,,21.0,,1.0,,,
2022-04-18T02:00:00-04:00,37.0,,,,,,27.0,56.0,,,,,60.0,,,,,2.0,,,,,,,,,,,8.0,,,,,,,
2022-04-19T21:00:00-04:00,2.0,24.0,64.0,4.0,1.0,,3.0,,22.0,,,,19.0,,6.0,,,8.0,162.0,2.0,,50.0,15.0,,,,2.0,1.0,5.0,37.0,,1.0,1.0,,1.0,39.0
2022-04-19T22:00:00-04:00,22.0,1.0,12.0,,,16.0,,1.0,,,,,,,,11.0,,,,,35.0,33.0,1.0,11.0,,6.0,12.0,29.0,,15.0,,16.0,,,,
2022-04-21T21:00:00-04:00,2.0,18.0,8.0,1.0,4.0,2.0,3.0,,1.0,1.0,,23.0,32.0,,,,20.0,2.0,32.0,2.0,2.0,61.0,6.0,,,277.0,6.0,5.0,6.0,,,1.0,12.0,,4.0,1.0
2022-04-21T22:00:00-04:00,18.0,,64.0,,1.0,8.0,,,6.0,4.0,29.0,,11.0,,,,,,,,,,6.0,8.0,,,30.0,1.0,,2.0,3.0,39.0,,,,
2022-04-23T14:00:00-04:00,10.0,,,,,,,,,,6.0,,,,,,9.0,20.0,10.0,,,,,,,,,,,,,,,,,
2022-04-23T21:00:00-04:00,5.0,,35.0,,,,,,,,,,,,,,32.0,,,,,,,,,124.0,,,,,,,,,,
2022-04-26T00:00:00-04:00,5.0,,37.0,,,,,,,,,,89.0,14.0,,,,,,,,30.0,,,,,,,,,,,,,13.0,
2022-04-26T22:00:00-04:00,8.0,,7.0,,,8.0,,,6.0,3.0,5.0,,12.0,18.0,,3.0,,,2.0,,12.0,,,13.0,,,,3.0,,6.0,,37.0,2.0,,,
2022-04-28T22:00:00-04:00,13.0,14.0,2.0,,23.0,,,3.0,,,,8.0,,2.0,8.0,,,,,,,,,55.0,,2.0,29.0,2.0,,30.0,,1.0,,,3.0,
2022-04-30T12:00:00-04:00,7.0,,,,,20.0,,,,,120.0,,,,,,11.0,,3.0,,,,,,,,,,,,,,,,,
2022-04-30T15:00:00-04:00,3.0,,,,,3.0,,,1.0,,32.0,,,,,,,,,8.0,,,,,,21.0,9.0,,,,,,,,,9.0
2022-05-01T00:00:00-04:00,11.0,,,,,37.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
2022-05-03T19:00:00-04:00,14.0,,,,,,,,24.0,,,10.0,,64.0,,,,4.0,,,6.0,14.0,,,,,11.0,,,,4.0,,42.0,,,3.0
